basin,流域面积,平均高程,高程标准差,平均坡度,森林比例,城镇化比例,水体比例,人口密度,路网密度,坝密度,库容径流比,水文扰动指数,河网密度,最大河流级别,地下水位埋深,年均降水,潜在蒸散,融雪比例
01017000,4278.907,271.7542,73.76505,4.800027,73.88419,0.541904781,1.917532,0.8270915,0.488420991622393,0.0934818167349746,23.865220721086,5,0.628991702787651,5,121.4279843,2.85363161136461,2.82260784686987,0.258479306730389
01017290,594.576,221.6957,36.70442,3.751044,63.30801,3.1569383,1.224116,3.693559,0.923869782836845,0.504561233551304,0.414749333979172,11,0.643271003202282,4,76.40628343,2.7322722715824,2.70448795765651,0.265013760635392
01017960,226.2537,186.9387,54.53045,4.97716,64.83991,5.01087904,3.066513,7.59191,1.03500066298343,0.883963444575713,13.7875756285975,7,0.714836044670209,4,109.6981017,2.90120013676462,2.98400929001643,0.215671645160778
01018000,450.4734,177.0417,44.05314,3.622306,62.30246,4.2773,1.689423,7.106143,0.964043159929088,0.443977380240431,6.92491498943112,14,0.674646716099108,4,91.25204312,2.92955428788709,2.97867136265742,0.216643405619241
01018009,19.5192,170.2702,24.58375,3.042455,51.060501,6.2891916,0.0,38.80243,1.57692220992664,0.0,0.0,8,0.655015062092709,2,96.0,2.62972112368437,3.02627321895722,0.217381867662689
01021200,242.8407,70.60058,29.91903,2.882755,60.48998,1.71457169,12.31556,2.506729,0.749492980377671,2.0589629333139,79.7406077317353,13,0.682338668929879,3,123.0,3.40516012861228,3.23212923587029,0.151458630353323
01027200,582.0489,476.4225,57.67964,5.538575,71.25638,0.334456464,0.8776582,0.0,0.37885851730951,0.515420611567172,15.8751300792768,5,0.412733534931515,3,144.3528312,3.09431494506297,2.83794256001704,0.256517067532373
01029200,444.9492,246.3435,37.88557,3.92405,67.588814,0.302191817,5.350251,0.0,0.331561299022362,0.224744757379045,2.41085948688075,6,0.519269840242437,4,118.5173752,3.03867375932347,2.95826895266777,0.239190017890907
01029500,2816.295,305.8952,144.9714,6.479412,75.36623,0.332127857,5.287361,0.06460913,0.405859116321266,0.142030575632169,62.7446325757778,9,0.529840801478538,5,152.9547619,3.12712257753848,2.98778454784936,0.235352504887851
01030500,3676.172,171.8164,53.85714,3.206527,70.50905,1.751833121,2.659038,1.869139,0.614652687632679,0.0544044185092536,7.69985218319491,5,0.578390782585799,5,103.8191342,3.18206303960577,3.02623862839934,0.218341538508019
