basin,train_start,train_end,valid_start,valid_end,test_start,test_end,ref_start,ref_end,ref_span_steps,n_valid_union,n_valid_intersect,test_steps,short_test
01017000,1989-10-01 06:00:00,2018-01-18 00:00:00,2018-03-19 03:00:00,2021-06-24 21:00:00,2021-08-24 00:00:00,2024-11-29 21:00:00,2007-10-01 06:00:00,2024-11-29 21:00:00,50157,77995,32148,9552,False
01017290,2008-06-01 06:00:00,2018-06-13 09:00:00,2018-08-12 12:00:00,2021-09-06 03:00:00,2021-11-05 06:00:00,2024-11-29 21:00:00,2008-10-01 06:00:00,2024-11-29 21:00:00,47229,48112,30375,8966,False
01017960,2003-10-01 06:00:00,2018-01-19 09:00:00,2018-03-20 12:00:00,2021-06-26 18:00:00,2021-08-25 21:00:00,2024-12-02 06:00:00,2007-10-01 06:00:00,2024-12-02 06:00:00,50176,57984,34782,9556,False
01018000,2003-10-01 06:00:00,2012-07-19 09:00:00,2012-09-17 12:00:00,2014-02-23 18:00:00,2014-04-24 21:00:00,2015-10-01 03:00:00,2007-10-01 06:00:00,2015-10-01 03:00:00,23375,30950,15831,4195,False
01018009,2008-06-01 06:00:00,2018-04-27 12:00:00,2018-06-26 15:00:00,2021-08-15 00:00:00,2021-10-14 03:00:00,2024-12-02 12:00:00,2008-06-02 06:00:00,2024-12-02 12:00:00,48218,47968,28537,9164,False
01021200,1990-10-01 06:00:00,2010-10-02 09:00:00,2010-12-01 12:00:00,2011-10-02 06:00:00,2011-12-01 09:00:00,2012-10-01 03:00:00,2007-10-04 06:00:00,2012-10-01 03:00:00,14591,46186,12925,2439,True
01027200,2001-09-06 06:00:00,2018-01-19 03:00:00,2018-03-20 06:00:00,2021-06-26 09:00:00,2021-08-25 12:00:00,2024-12-01 18:00:00,2007-10-01 06:00:00,2024-12-01 18:00:00,50172,60455,32097,9555,False
01029200,1998-04-01 06:00:00,2022-08-31 15:00:00,2022-10-30 18:00:00,2023-10-17 09:00:00,2023-12-16 12:00:00,2024-12-02 03:00:00,2019-04-14 18:00:00,2024-12-02 03:00:00,16468,54870,11571,2814,True
01029500,1998-10-01 06:00:00,2018-01-17 06:00:00,2018-03-18 09:00:00,2021-06-23 21:00:00,2021-08-23 00:00:00,2024-11-28 15:00:00,2007-10-01 06:00:00,2024-11-28 15:00:00,50147,68561,33921,9550,False
01030500,1989-10-01 06:00:00,2018-01-19 12:00:00,2018-03-20 15:00:00,2021-06-27 00:00:00,2021-08-26 03:00:00,2024-12-02 12:00:00,2007-10-01 06:00:00,2024-12-02 12:00:00,50178,83939,36046,9556,False
