basin,split,n_steps,start,end,short_test,flow_valid,flow_ratio,waterlevel_valid,waterlevel_ratio,union_valid,intersect_valid
01017000,train,82686,1989-10-01 06:00:00,2018-01-18 00:00:00,False,47078,0.569358778995235,30028,0.36315700360399583,58285,18821
01017000,valid,9551,2018-03-19 03:00:00,2021-06-24 21:00:00,False,6202,0.6493560883677102,9504,0.995079049314208,9518,6188
01017000,test,9552,2021-08-24 00:00:00,2024-11-29 21:00:00,False,6748,0.7064489112227805,9126,0.9554020100502513,9213,6661
01017290,train,29313,2008-06-01 06:00:00,2018-06-13 09:00:00,False,18805,0.641524238392522,28256,0.963940913587828,29249,17812
01017290,valid,8966,2018-08-12 12:00:00,2021-09-06 03:00:00,False,5603,0.6249163506580415,8966,1.0,8966,5603
01017290,test,8966,2021-11-05 06:00:00,2024-11-29 21:00:00,False,6001,0.669306268124024,8915,0.9943118447468213,8916,6000
01017960,train,41793,2003-10-01 06:00:00,2018-01-19 09:00:00,False,28416,0.6799224750556313,30079,0.719713827674491,37986,20509
01017960,valid,9555,2018-03-20 12:00:00,2021-06-26 18:00:00,False,6303,0.6596546310832025,9501,0.994348508634223,9503,6301
01017960,test,9556,2021-08-25 21:00:00,2024-12-02 06:00:00,False,7416,0.7760569275847635,9526,0.9968606111343659,9533,7409
01018000,train,25713,2003-10-01 06:00:00,2012-07-19 09:00:00,False,17024,0.6620775483218605,14025,0.5454439388636099,21600,9449
01018000,valid,4195,2012-09-17 12:00:00,2014-02-23 18:00:00,False,2614,0.6231227651966627,4195,1.0,4195,2614
01018000,test,4195,2014-04-24 21:00:00,2015-10-01 03:00:00,False,3219,0.767342073897497,4195,1.0,4195,3219
01018009,train,28938,2008-06-01 06:00:00,2018-04-27 12:00:00,False,15935,0.5506600317921073,28663,0.9904969244591886,28681,15917
01018009,valid,9164,2018-06-26 15:00:00,2021-08-15 00:00:00,False,5523,0.6026844172850284,9163,0.999890877346137,9164,5522
01018009,test,9164,2021-10-14 03:00:00,2024-12-02 12:00:00,False,6177,0.6740506329113924,9163,0.999890877346137,9163,6177
01021200,train,58450,1990-10-01 06:00:00,2010-10-02 09:00:00,True,39160,0.6699743370402053,8775,0.15012831479897348,40437,7498
01021200,valid,2438,2010-12-01 12:00:00,2011-10-02 06:00:00,True,2374,0.9737489745693191,2381,0.9766201804757998,2381,2374
01021200,test,2439,2011-12-01 09:00:00,2012-10-01 03:00:00,True,2119,0.8687986879868799,2424,0.993849938499385,2425,2118
01027200,train,47831,2001-09-06 06:00:00,2018-01-19 03:00:00,False,29543,0.6176538228345634,29944,0.6260375070560933,40395,19092
01027200,valid,9554,2018-03-20 06:00:00,2021-06-26 09:00:00,False,5908,0.6183797362361315,9538,0.9983253087711953,9539,5907
01027200,test,9555,2021-08-25 12:00:00,2024-12-01 18:00:00,False,6416,0.6714809000523286,9555,1.0,9555,6416
01029200,train,71347,1998-04-01 06:00:00,2022-08-31 15:00:00,True,44555,0.6244831597684556,10975,0.15382566891389968,48497,7033
01029200,valid,2814,2022-10-30 18:00:00,2023-10-17 09:00:00,True,1740,0.6183368869936035,2673,0.9498933901918977,2673,1740
01029200,test,2814,2023-12-16 12:00:00,2024-12-02 03:00:00,True,1986,0.7057569296375267,2776,0.9864960909737029,2776,1986
01029500,train,56384,1998-10-01 06:00:00,2018-01-17 06:00:00,False,38546,0.6836336549375709,30071,0.533325056753689,48496,20121
01029500,valid,9549,2018-03-18 09:00:00,2021-06-23 21:00:00,False,6366,0.6666666666666666,9549,1.0,9549,6366
01029500,test,9550,2021-08-23 00:00:00,2024-11-28 15:00:00,False,6955,0.7282722513089005,9524,0.9972774869109947,9525,6954
01030500,train,82698,1989-10-01 06:00:00,2018-01-19 12:00:00,False,55279,0.6684442187235483,29942,0.3620643788241554,63920,21301
01030500,valid,9556,2018-03-20 15:00:00,2021-06-27 00:00:00,False,6807,0.7123273336123901,9555,0.9998953537044789,9556,6806
01030500,test,9556,2021-08-26 03:00:00,2024-12-02 12:00:00,False,7461,0.7807660108832147,9514,0.9956048555881122,9516,7459
01031300,train,61872,1996-11-14 06:00:00,2018-01-17 06:00:00,False,42287,0.6834594000517197,27137,0.43859904318593224,51044,18380
01031300,valid,9550,2018-03-18 09:00:00,2021-06-24 00:00:00,False,6459,0.6763350785340314,9549,0.9998952879581152,9549,6459
01031300,test,9550,2021-08-23 03:00:00,2024-11-28 18:00:00,False,6997,0.7326701570680628,9528,0.9976963350785341,9529,6996
01031450,train,59858,1997-07-26 06:00:00,2018-01-19 12:00:00,False,40522,0.6769688262220589,29858,0.4988138594674062,50065,20315
01031450,valid,9556,2018-03-20 15:00:00,2021-06-27 00:00:00,False,6933,0.7255127668480535,9400,0.9836751778987024,9436,6897
01031450,test,9556,2021-08-26 03:00:00,2024-12-02 12:00:00,False,7022,0.7348262871494349,9476,0.991628296358309,9495,7003
01031500,train,88248,1987-11-05 06:00:00,2018-01-17 06:00:00,False,55539,0.6293513734022301,29959,0.33948644728492433,65061,20437
01031500,valid,9550,2018-03-18 09:00:00,2021-06-24 00:00:00,False,6502,0.6808376963350785,9534,0.998324607329843,9537,6499
01031500,test,9550,2021-08-23 03:00:00,2024-11-28 18:00:00,False,7480,0.7832460732984293,9550,1.0,9550,7480
01031510,train,28742,2008-07-01 06:00:00,2018-05-03 00:00:00,False,20701,0.7202351958805928,28594,0.9948507410757776,28673,20622
01031510,valid,9101,2018-07-02 03:00:00,2021-08-12 15:00:00,False,6652,0.7309086913525986,9099,0.9997802439292386,9099,6652
01031510,test,9101,2021-10-11 18:00:00,2024-11-22 06:00:00,False,6621,0.7275024722557961,9101,1.0,9101,6621
01037380,train,57342,1998-06-10 06:00:00,2018-01-24 00:00:00,False,44786,0.7810330996477277,29986,0.5229325799588435,51255,23517
01037380,valid,9538,2018-03-25 03:00:00,2021-06-29 06:00:00,False,6366,0.6674355210736004,9494,0.9953868735583979,9500,6360
01037380,test,9538,2021-08-28 09:00:00,2024-12-02 12:00:00,False,6505,0.6820088068777521,9533,0.9994757810861816,9537,6501
01044550,train,53929,1999-08-05 06:00:00,2018-01-18 09:00:00,False,33968,0.629865193124293,29961,0.5555637968439986,43978,19951
01044550,valid,9552,2018-03-19 12:00:00,2021-06-25 09:00:00,False,6229,0.6521147403685092,9533,0.9980108877721943,9533,6229
01044550,test,9553,2021-08-24 12:00:00,2024-11-30 12:00:00,False,6946,0.7271014341044698,9502,0.9946613629226421,9510,6938
01046000,train,28780,2008-07-01 06:00:00,2018-05-07 18:00:00,False,20941,0.7276233495482974,28754,0.99909659485754,28765,20930
01046000,valid,9113,2018-07-06 21:00:00,2021-08-18 21:00:00,False,6866,0.753429167123889,9111,0.9997805333040711,9112,6865
01046000,test,9114,2021-10-18 00:00:00,2024-11-30 03:00:00,False,6729,0.738314680710994,9107,0.999231950844854,9107,6729
01047150,train,27475,2009-04-01 18:00:00,2018-08-27 03:00:00,False,25488,0.9276797088262057,27473,0.9999272065514103,27474,25487
01047150,valid,8677,2018-10-26 06:00:00,2021-10-14 18:00:00,False,8269,0.9529791402558488,8674,0.9996542583842342,8677,8266
01047150,test,8678,2021-12-13 21:00:00,2024-12-02 12:00:00,False,8236,0.9490666052085734,8678,1.0,8678,8236
01048220,train,28917,2008-06-01 06:00:00,2018-04-24 21:00:00,False,19226,0.6648684165024035,28829,0.9969568074143238,28846,19209
01048220,valid,9159,2018-06-24 00:00:00,2021-08-11 18:00:00,False,6959,0.759799104705754,8998,0.9824216617534666,9079,6878
01048220,test,9160,2021-10-10 21:00:00,2024-11-28 18:00:00,False,6765,0.7385371179039302,9150,0.9989082969432315,9154,6761
01052500,train,79765,1990-10-01 06:00:00,2018-01-17 21:00:00,False,51310,0.6432645897323388,29965,0.37566601893060864,61447,19828
01052500,valid,9551,2018-03-19 00:00:00,2021-06-24 18:00:00,False,6342,0.6640142393466653,9521,0.9968589676473668,9525,6338
01052500,test,9551,2021-08-23 21:00:00,2024-11-29 15:00:00,False,6942,0.7268348863993299,9525,0.9972777719610512,9527,6940
01054300,train,50338,2000-10-27 06:00:00,2018-01-18 12:00:00,False,35531,0.7058484643807859,30072,0.5974015654177758,44015,21588
01054300,valid,9553,2018-03-19 15:00:00,2021-06-25 15:00:00,False,7072,0.7402910080602952,9516,0.996126871139956,9523,7065
01054300,test,9553,2021-08-24 18:00:00,2024-11-30 18:00:00,False,7356,0.7700198890400921,9536,0.9982204543075474,9536,7356
01055000,train,79770,1990-10-01 06:00:00,2018-01-18 12:00:00,False,54327,0.6810455058292592,30096,0.3772846934937947,64024,20399
01055000,valid,9553,2018-03-19 15:00:00,2021-06-25 15:00:00,False,6911,0.723437663561185,9478,0.9921490631215325,9497,6892
01055000,test,9553,2021-08-24 18:00:00,2024-11-30 18:00:00,False,7137,0.747095153354967,9449,0.9891133675285251,9451,7135
