basin_id,train_start,train_end,valid_start,valid_end,test_start,test_end
01017000,2007-09-18 21:00:00,2018-01-05 15:00:00,2018-01-05 18:00:00,2021-06-12 12:00:00,2021-06-12 15:00:00,2024-11-17 12:00:00
01017060,2008-11-18 21:00:00,2018-07-03 03:00:00,2018-07-03 06:00:00,2021-09-16 06:00:00,2021-09-16 09:00:00,2024-11-30 09:00:00
01017290,2008-09-18 21:00:00,2018-06-01 00:00:00,2018-06-01 03:00:00,2021-08-24 18:00:00,2021-08-24 21:00:00,2024-11-17 12:00:00
01017960,2007-09-18 21:00:00,2018-01-14 03:00:00,2018-01-14 06:00:00,2021-06-23 21:00:00,2021-06-24 00:00:00,2024-12-01 18:00:00
01018000,2007-09-18 21:00:00,2012-07-07 00:00:00,2012-07-07 03:00:00,2014-02-11 09:00:00,2014-02-11 12:00:00,2015-09-18 18:00:00
01018009,2008-05-20 21:00:00,2018-04-22 15:00:00,2018-04-22 18:00:00,2021-08-12 12:00:00,2021-08-12 15:00:00,2024-12-02 12:00:00
01019000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01021200,2007-09-21 21:00:00,2010-09-20 00:00:00,2010-09-20 03:00:00,2011-09-19 18:00:00,2011-09-19 21:00:00,2012-09-18 18:00:00
01027200,2007-09-18 21:00:00,2018-01-13 09:00:00,2018-01-13 12:00:00,2021-06-22 21:00:00,2021-06-23 00:00:00,2024-11-30 09:00:00
01029200,2019-04-02 09:00:00,2022-08-26 03:00:00,2022-08-26 06:00:00,2023-10-14 03:00:00,2023-10-14 06:00:00,2024-12-01 03:00:00
01029500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01030500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01031300,2007-09-18 21:00:00,2018-01-14 06:00:00,2018-01-14 09:00:00,2021-06-24 03:00:00,2021-06-24 06:00:00,2024-12-02 00:00:00
01031450,2007-09-18 21:00:00,2018-01-14 03:00:00,2018-01-14 06:00:00,2021-06-23 21:00:00,2021-06-24 00:00:00,2024-12-01 18:00:00
01031500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01031510,2008-06-18 21:00:00,2018-05-04 06:00:00,2018-05-04 09:00:00,2021-08-18 09:00:00,2021-08-18 12:00:00,2024-12-02 12:00:00
01037380,2007-09-29 21:00:00,2018-01-18 12:00:00,2018-01-18 15:00:00,2021-06-26 00:00:00,2021-06-26 03:00:00,2024-12-01 15:00:00
01042500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01043500,2014-06-06 21:00:00,2020-09-21 18:00:00,2020-09-21 21:00:00,2022-10-28 03:00:00,2022-10-28 06:00:00,2024-12-02 12:00:00
01044550,2007-09-18 21:00:00,2018-01-13 18:00:00,2018-01-13 21:00:00,2021-06-23 09:00:00,2021-06-23 12:00:00,2024-12-01 03:00:00
01046000,2008-06-18 21:00:00,2018-05-03 03:00:00,2018-05-03 06:00:00,2021-08-16 21:00:00,2021-08-17 00:00:00,2024-11-30 15:00:00
01046500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01047150,2009-03-20 21:00:00,2018-08-22 06:00:00,2018-08-22 09:00:00,2021-10-12 09:00:00,2021-10-12 12:00:00,2024-12-02 12:00:00
01047200,2008-06-18 21:00:00,2018-05-03 03:00:00,2018-05-03 06:00:00,2021-08-16 21:00:00,2021-08-17 00:00:00,2024-11-30 18:00:00
01048220,2008-05-19 21:00:00,2018-04-21 21:00:00,2018-04-22 00:00:00,2021-08-11 21:00:00,2021-08-12 00:00:00,2024-12-02 00:00:00
01052500,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01054200,2007-09-18 21:00:00,2018-01-13 15:00:00,2018-01-13 18:00:00,2021-06-23 06:00:00,2021-06-23 09:00:00,2024-11-30 21:00:00
01054300,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01055000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01059000,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01060000,2019-09-18 21:00:00,2022-11-02 15:00:00,2022-11-02 18:00:00,2023-11-17 21:00:00,2023-11-18 00:00:00,2024-12-02 06:00:00
01064801,2007-09-18 21:00:00,2018-01-14 15:00:00,2018-01-14 18:00:00,2021-06-24 12:00:00,2021-06-24 15:00:00,2024-12-02 12:00:00
01067950,2008-05-31 21:00:00,2018-04-26 09:00:00,2018-04-26 12:00:00,2021-08-13 21:00:00,2021-08-14 00:00:00,2024-12-01 12:00:00
