basin_id,obs_start,obs_end,obs_duration_days,num_subperiods,obs_valid_hours,fault_count,fault_total_hours,fault_rate_pct,max_fault_hours,mean_fault_hours,median_fault_hours,p90_fault_hours,p95_fault_hours,p99_fault_hours,fault_lengths_hours
01017000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,113,1672,1.106,462,14.8,2.0,23.8,49.6,148.84,3;6;7;1;2;26;113;1;12;7;4;4;4;2;8;52;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;3;2;2;2;2;2;1;1;4;2;2;1;1;3;2;1;2;1;2;1;1;2;2;2;2;2;2;2;13;1;6;1;1;2;119;24;4;7;17;133;151;16;4;462;9;48;8;10;7;9;12;1;22;23;31;1;2;3;9;10;37;10;6;2;9;11;4;2;2;1;10;1;4;9;12;9;5;2;47
01017960,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,27,338,0.223,126,12.52,7.0,18.4,28.1,101.56,32;14;1;1;1;10;10;6;126;19;6;3;3;4;2;7;3;13;12;8;5;4;8;18;14;1;7
01019000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,23,256,0.169,71,11.13,1.0,32.2,61.8,69.68,1;1;1;1;1;71;1;1;65;1;1;3;33;2;1;1;1;1;1;25;29;1;13
01027200,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,26,632,0.418,179,24.31,3.5,74.5,154.5,176.25,1;179;25;1;1;1;2;15;18;1;2;4;4;1;33;3;5;7;168;1;1;35;8;1;114;1
01029500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,17,150,0.099,48,8.82,4.0,23.0,40.0,46.4,1;1;48;1;1;1;1;10;8;38;8;1;13;5;2;4;7
01030500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,34,668,0.442,140,19.65,8.5,46.1,92.5,139.34,4;17;2;138;140;2;7;8;17;10;25;1;2;1;14;68;50;37;1;1;5;5;14;14;9;14;10;11;8;1;1;5;22;4
01031300,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,2,142459,25,148,0.104,53,5.92,1.0,15.6,16.8,44.36,1;1;1;1;1;1;1;53;1;2;3;1;1;1;1;1;3;4;16;17;7;1;15;5;9
01031450,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,113,1900,1.256,409,16.81,4.0,40.6,67.4,134.64,1;5;3;1;1;2;1;3;2;8;5;1;1;33;3;26;8;6;2;1;8;5;9;4;1;9;1;8;6;6;12;20;18;11;1;1;3;2;1;18;14;7;16;18;14;65;14;32;1;1;1;1;1;1;1;1;2;1;1;2;1;2;4;3;39;45;46;26;2;11;1;2;129;409;6;56;6;2;6;41;2;7;85;4;14;3;4;4;7;14;1;135;7;61;6;1;10;1;1;71;132;1;1;18;1;3;1;1;1;2;1;1;11
01031500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,26,435,0.288,126,16.73,6.0,52.5,61.75,110.25,8;11;4;1;1;1;1;3;1;9;1;47;126;1;58;35;63;15;1;1;10;3;10;10;1;13
01037380,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,21,649,0.429,287,30.9,3.0,76.0,107.0,251.0,1;2;3;1;107;6;1;1;287;1;1;4;55;4;76;53;1;10;1;33;1
01042500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,7,16,0.011,9,2.29,1.0,4.8,6.9,8.58,1;1;2;1;1;9;1
01044550,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,58,619,0.409,59,10.67,4.0,33.3,40.6,57.86,1;1;2;4;44;1;4;6;2;8;7;3;1;33;17;34;6;6;24;37;13;11;10;57;21;1;1;1;2;40;5;2;1;1;1;59;1;1;1;12;1;3;4;1;1;2;3;3;3;20;30;11;18;16;4;4;9;4
01046500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,15,67,0.044,32,4.47,1.0,13.0,22.9,30.18,1;1;1;1;1;1;1;1;4;32;1;1;1;1;19
01047150,2009-04-01T18:00:00,2024-12-31T23:00:00,5753.2,1,138078,4,14,0.01,9,3.5,2.0,7.2,8.1,8.82,3;1;1;9
01052500,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,29,561,0.371,200,19.34,3.0,66.8,82.0,169.2,90;4;3;1;1;1;200;1;70;15;1;1;2;8;6;10;11;7;1;19;1;1;1;1;22;3;13;66;1
01054200,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,57,3339,2.208,1041,58.58,3.0,151.0,262.0,689.88,4;139;2;43;3;1;4;1;2;11;1;17;27;1;1;1;1;1;1;1;2;3;2;2;1;3;1;46;1;1;1;3;1;1;192;1;8;7;1;414;1;5;1;46;115;31;13;77;90;81;251;169;96;24;1041;306;39
01054300,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,12,243,0.161,73,20.25,9.5,57.4,64.75,71.35,1;3;4;1;1;73;6;13;14;17;58;52
01055000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,39,540,0.357,95,13.85,7.0,31.0,59.7,90.82,1;1;2;1;1;1;1;30;6;57;84;28;20;1;10;20;19;1;8;5;10;10;7;6;8;7;8;12;10;15;3;35;8;2;95;1;1;3;2
01059000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,8,14,0.009,4,1.75,1.5,2.6,3.3,3.86,1;1;1;2;2;4;2;1
01064801,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,168,1155,0.764,107,6.88,1.0,16.3,29.65,91.98,2;1;1;1;3;1;1;90;1;2;3;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;9;3;1;1;1;3;1;1;1;1;1;1;1;1;1;12;29;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;32;1;1;5;96;2;1;1;4;4;1;7;1;10;47;7;11;1;1;1;1;2;1;1;1;30;11;2;1;1;1;2;1;1;2;4;3;4;2;5;2;7;2;7;21;24;29;1;9;74;16;17;28;2;12;3;7;28;7;7;7;12;8;1;8;107;2;1;2;2;59;1;9;18;16;42;4
01068910,2008-04-07T19:00:00,2024-12-31T23:00:00,6112.2,1,146693,6,7,0.005,2,1.17,1.0,1.5,1.75,1.95,1;1;1;1;1;2
01069500,2008-11-18T20:00:00,2024-12-31T23:00:00,5887.2,1,141292,8,48,0.034,36,6.0,1.0,14.3,25.15,33.83,36;5;1;2;1;1;1;1
01072800,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,171,362,0.239,74,2.12,1.0,3.0,4.0,11.6,1;1;3;1;1;1;1;1;1;1;1;2;1;1;74;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;5;2;1;1;1;11;1;2;1;1;6;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;4;4;13;4;9;10;2;3;1;1;2;4;1;2;1;1;3;1;1;6;2;3;3;1;1;1;3;2;1;2;1;2;1;3;2;1;1;1;3;1;1;1;1;1;3;1;1;2;2;1;1;1;1;1;1;3;1;1;1;2;1;1;3;1;1;1;1;1;1;2;1;3;1;1;2;1;1;1;1;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;2;2;2;1;1;1
01073000,2007-10-01T05:00:00,2024-12-31T23:00:00,6301.8,1,151243,57,399,0.264,67,7.0,1.0,22.4,24.4,53.56,2;1;3;3;1;22;1;19;20;19;17;23;23;20;67;1;1;1;2;1;1;1;1;4;5;1;2;1;1;1;1;1;1;1;1;43;1;24;1;1;2;5;1;10;1;3;1;1;1;1;2;26;1;1;1;1;1
