basin_id,total_steps,missing_steps,missing_rate_pct,num_gaps,max_gap_hours,mean_gap_hours,median_gap_hours,max_gap_days,mean_gap_days,gap_lengths_hours
01011000,394488,394488,100.0,1,394488,394488.0,394488.0,16437.0,16437.0,394488
01013500,394488,281067,71.2486,49,280517,5736.06,3.0,11688.21,239.0,280517;1;1;1;172;7;4;1;1;4;3;6;4;4;7;6;3;3;2;1;2;4;2;16;3;141;2;1;1;1;1;1;1;16;7;9;12;6;2;8;5;2;2;9;34;2;5;22;2
01015800,394488,294756,74.7186,16,294652,18422.25,2.0,12277.17,767.59,294652;2;1;2;1;30;25;20;1;5;1;1;2;1;8;4
01017000,394488,244917,62.0848,114,243245,2148.39,2.0,10135.21,89.52,243245;3;6;7;1;2;26;113;1;12;7;4;4;4;2;8;52;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;3;2;2;2;2;2;1;1;4;2;2;1;1;3;2;1;2;1;2;1;1;2;2;2;2;2;2;2;13;1;6;1;1;2;119;24;4;7;17;133;151;16;4;462;9;48;8;10;7;9;12;1;22;23;31;1;2;3;9;10;37;10;6;2;9;11;4;2;2;1;10;1;4;9;12;9;5;2;47
01017060,394488,260008,65.9102,27,253493,9629.93,2.0,10562.21,401.25,253493;30;51;2;1;51;2;59;1330;264;9;1;1;1;2;2;19;21;4;1;1;1;1;1;4655;3;2
01017290,394488,252448,63.9938,28,252028,9016.0,4.0,10501.17,375.67,252028;1;1;1;1;1;2;8;5;2;7;4;6;1;5;4;3;2;3;6;1;191;125;6;5;17;2;10
01017550,394488,243531,61.7334,29,243245,8397.62,5.0,10135.21,349.9,243245;1;14;5;1;12;12;9;2;2;1;6;1;1;1;5;1;1;40;6;13;8;6;1;5;2;2;1;127
01017960,394488,243583,61.7466,28,243245,8699.39,7.0,10135.21,362.47,243245;32;14;1;1;1;10;10;6;126;19;6;3;3;4;2;7;3;13;12;8;5;4;8;18;14;1;7
01018000,394488,324361,82.2233,3,243245,108120.33,81115.0,10135.21,4505.01,243245;1;81115
01018009,394488,249928,63.355,24,249124,10413.67,2.0,10380.17,433.9,249124;1;1;1;3;1;3;1;2;591;1;12;2;75;1;20;2;1;79;2;2;1;1;1
01019000,394488,243501,61.7258,24,243245,10145.88,1.0,10135.21,422.74,243245;1;1;1;1;1;71;1;1;65;1;1;3;33;2;1;1;1;1;1;25;29;1;13
01021200,394488,350921,88.9561,14,243245,25065.79,2.5,10135.21,1044.41,243245;8;1;169;1;2;50;42;1;3;1;1;1;107396
01021470,394488,270017,68.4475,37,243245,7297.76,13.0,10135.21,304.07,243245;1;25;14;23;4;1;14;1;2;3;1;1;1;47;13;1;1;1;39;1;1;1;75;3;1;28;49;3318;1;3565;3565;3622;3622;3622;3646;1459
01021480,394488,252277,63.9505,38,243245,6638.87,1.0,10135.21,276.62,243245;24;2;24;1;1;1;1;1;24;1;1;1;1;1;1;1;1;1;8784;2;1;3;10;3;2;1;1;16;16;14;66;2;1;8;12;1;1
01021500,394488,394488,100.0,1,394488,394488.0,394488.0,16437.0,16437.0,394488
01022260,394488,394488,100.0,1,394488,394488.0,394488.0,16437.0,16437.0,394488
01022330,394488,394488,100.0,1,394488,394488.0,394488.0,16437.0,16437.0,394488
01022500,394488,243470,61.718,17,243245,14321.76,3.0,10135.21,596.74,243245;164;1;1;1;2;6;7;3;5;9;1;1;3;3;17;1
01027200,394488,243877,61.8211,27,243245,9032.48,4.0,10135.21,376.35,243245;1;179;25;1;1;1;2;15;18;1;2;4;4;1;33;3;5;7;168;1;1;35;8;1;114;1
01029200,394488,341807,86.6457,46,340709,7430.59,9.0,14196.21,309.61,340709;1;1;27;5;35;3;3;18;57;84;2;8;6;8;8;5;5;2;62;18;9;1;106;9;10;51;24;75;89;12;26;16;109;13;113;1;13;9;8;7;8;4;6;14;7
01029500,394488,243395,61.699,18,243245,13521.94,4.5,10135.21,563.41,243245;1;1;48;1;1;1;1;10;8;38;8;1;13;5;2;4;7
