basin_id,index,in_candidate_list_rank
01017000,0,4
01017060,1,5
01017290,2,6
01017960,3,8
01018000,4,9
01018009,5,10
01019000,6,11
01021200,7,12
01027200,8,19
01029200,9,20
01029500,10,21
01030500,11,22
01031300,12,23
01031450,13,24
01031500,14,25
01031510,15,26
01037380,16,30
01042500,17,32
01043500,18,33
01044550,19,34
01046000,20,35
01046500,21,36
01047150,22,38
01047200,23,39
01048220,24,41
01052500,25,45
01054200,26,49
01054300,27,50
01055000,28,52
01059000,29,55
01060000,30,57
01064801,31,60
01067950,32,63
01068910,33,64
01069500,34,65
01069700,35,66
01072800,36,67
01073000,37,68
01073319,38,69
01073500,39,70
010735562,40,71
01073587,41,72
01073785,42,73
01074520,43,74
01075000,44,75
01076000,45,76
01076500,46,77
01077400,47,78
01078000,48,79
01081000,49,80
01081500,50,81
01082000,51,82
01085000,52,84
01085500,53,85
01086000,54,86
01089100,55,87
01089500,56,88
01091000,57,89
01091500,58,90
01092000,59,91
01093852,60,93
01094000,61,94
01096000,62,99
01096500,63,100
010965852,64,101
01097000,65,102
01097300,66,103
01098530,67,105
01099500,68,106
01100000,69,107
01100505,70,108
01100561,71,109
01100600,72,110
01100627,73,111
01101000,74,112
01101500,75,113
01103280,76,118
01103455,77,119
01108000,78,140
01108410,79,142
01109000,80,143
01109060,81,144
01109070,82,145
01109403,83,148
01109730,84,149
01110000,85,150
01111212,86,151
01111300,87,153
01111500,88,154
01115630,89,162
01115770,90,164
01117370,91,170
01117468,92,171
01117800,93,173
01118300,94,175
01119500,95,177
01121000,96,178
01122000,97,179
01122500,98,180
01123000,99,181
01125100,100,188
01125500,101,189
01127000,102,190
01127500,103,191
01129200,104,192
01130000,105,193
01133000,106,194
01134500,107,195
01135150,108,196
01135500,109,198
01139000,110,200
01139800,111,201
01142500,112,203
01144000,113,204
01150900,114,205
01151500,115,206
01152500,116,207
01153000,117,208
01153550,118,209
01154000,119,210
01154500,120,211
01155500,121,212
01157000,122,213
01158000,123,214
01160350,124,216
01161000,125,217
01162000,126,218
01162500,127,219
01163200,128,220
01166500,129,221
01168500,130,223
01169000,131,224
01169900,132,225
01170000,133,226
01170100,134,227
01170500,135,228
01171500,136,231
01172500,137,232
01173000,138,233
01173500,139,234
01174565,140,236
01181000,141,244
01183500,142,245
01184000,143,246
01184100,144,247
01185500,145,249
01186000,146,250
01186500,147,251
01187300,148,252
01188000,149,254
01188090,150,255
01189000,151,256
01189995,152,257
01191000,153,258
01192500,154,259
01192883,155,260
01193500,156,261
01194000,157,262
01195490,158,265
01196500,159,266
01196561,160,267
01196620,161,268
01197000,162,269
01198000,163,271
01198125,164,272
01203805,165,281
01208950,166,290
01208990,167,291
01331500,168,309
01333000,169,311
01382170,170,385
01382500,171,386
01396091,172,401
01396190,173,402
01432110,174,450
01439800,175,465
01449800,176,488
01451000,177,490
01451800,178,493
01455500,179,498
01460880,180,501
01461300,181,502
01468500,182,509
01469500,183,510
01470500,184,512
01470779,185,514
01470960,186,516
01471000,187,517
01471510,188,518
01472000,189,521
01473500,190,524
01492500,191,565
01493500,192,567
01518700,193,586
01518862,194,587
01520000,195,588
01534500,196,607
01534860,197,608
01548005,198,635
01553700,199,644
01555000,200,646
01555500,201,647
01564500,202,657
01566000,203,659
01567500,204,661
01599000,205,715
01601000,206,717
01601500,207,718
01603000,208,719
01604500,209,720
01605500,210,721
01606000,211,722
01606500,212,723
01607500,213,724
01608000,214,725
01608500,215,726
01609000,216,727
01610000,217,728
01610155,218,729
01611500,219,730
01613000,220,731
01613050,221,732
01613095,222,733
01613525,223,734
01613900,224,735
01614000,225,736
01614500,226,737
01615000,227,739
01616100,228,741
01616500,229,742
01617000,230,743
01617800,231,744
01618000,232,745
01619000,233,746
01619500,234,747
01620500,235,748
01621050,236,749
01622000,237,750
01625000,238,752
01626000,239,753
01626850,240,754
01627500,241,755
01628500,242,756
01629500,243,757
01631000,244,759
01632000,245,760
01632082,246,761
01632900,247,762
01633000,248,763
01634000,249,764
01634500,250,765
01635500,251,767
01636316,252,770
01636500,253,771
01636690,254,772
01637500,255,773
01638480,256,776
01638500,257,777
01639500,258,779
01643395,259,785
01646500,260,802
01658500,261,819
01661050,262,825
01662800,263,827
01663500,264,828
01664000,265,829
01665500,266,831
01666500,267,832
01667500,268,833
01669000,269,836
01669520,270,837
02011400,271,849
02011460,272,850
02011470,273,851
02011490,274,852
02011500,275,853
02011800,276,854
02013000,277,855
02013100,278,856
02014000,279,857
02015700,280,858
02016000,281,859
02016500,282,860
02017500,283,861
02018000,284,862
02018500,285,863
02019500,286,864
02020500,287,865
02021500,288,866
02022500,289,867
02024000,290,868
02024752,291,869
02024915,292,870
02025500,293,871
02026000,294,872
02027000,295,873
02027500,296,874
02028500,297,876
02029000,298,877
02030500,299,879
02032250,300,881
02032640,301,882
02035000,302,885
02037500,303,887
02038850,304,889
0204382800,305,897
02046000,306,900
02051000,307,904
02051500,308,905
02054500,309,910
02054530,310,911
02055000,311,912
02056000,312,914
02056650,313,915
02068500,314,927
02069700,315,929
02070000,316,930
02070500,317,931
02071530,318,932
02074500,319,933
02118500,320,975
02152474,321,994
02157470,322,997
02157490,323,998
02167450,324,1003
02197300,325,1015
02228500,326,1048
02231000,327,1049
02231342,328,1050
02235200,329,1058
02236500,330,1059
02245500,331,1062
02246000,332,1063
02266200,333,1067
02268390,334,1068
02295013,335,1088
02296500,336,1090
02322700,337,1140
02322800,338,1141
02342850,339,1162
02343225,340,1163
02343940,341,1165
02365470,342,1173
02365769,343,1174
02366996,344,1175
02371500,345,1180
02372250,346,1181
02373000,347,1182
02374500,348,1183
02374745,349,1184
02374950,350,1185
02388900,351,1204
02388975,352,1205
02390000,353,1206
02391540,354,1207
02391840,355,1208
02392360,356,1209
02399200,357,1219
02400100,358,1220
02400680,359,1221
02401000,360,1222
02401390,361,1223
02404400,362,1224
02405500,363,1225
02407000,364,1226
02407514,365,1227
02408540,366,1228
02415000,367,1236
02420000,368,1241
02422500,369,1243
02423130,370,1244
02423380,371,1245
02423397,372,1246
02423400,373,1247
02423414,374,1248
02423425,375,1249
02423496,376,1250
02423500,377,1251
0242354750,378,1252
02423555,379,1253
02423630,380,1254
02424000,381,1255
02427250,382,1257
02438000,383,1263
02448900,384,1271
02449882,385,1272
02450000,386,1273
02450180,387,1274
02450250,388,1275
02450825,389,1276
02453000,390,1277
02454055,391,1278
02455000,392,1279
02455185,393,1280
02455980,394,1281
02456000,395,1282
02456500,396,1283
02457000,397,1284
02457595,398,1285
02458300,399,1286
02458450,400,1287
02458600,401,1288
02461500,402,1289
02462000,403,1290
02464000,404,1291
02464146,405,1292
02465000,406,1293
02465493,407,1295
02466030,408,1296
02467500,409,1298
02469800,410,1300
02470072,411,1301
02479945,412,1313
03010655,413,1320
03011800,414,1322
03015500,415,1328
03017500,416,1330
03021350,417,1333
03022540,418,1335
03026500,419,1340
03028000,420,1342
03031500,421,1346
03032500,422,1347
03034000,423,1348
03034500,424,1349
03036000,425,1350
03036500,426,1351
03038000,427,1352
03039000,428,1353
03040000,429,1354
03041029,430,1355
03041500,431,1356
03042000,432,1357
03042280,433,1358
03042500,434,1359
03044000,435,1360
03045000,436,1361
03047000,437,1362
03048500,438,1363
03049000,439,1364
03049500,440,1365
03049800,441,1368
03050000,442,1370
03050500,443,1371
03051000,444,1372
03052000,445,1373
03052500,446,1374
03053500,447,1375
03054500,448,1376
03056000,449,1377
03056250,450,1378
03057000,451,1379
03058000,452,1380
03058500,453,1381
03061000,454,1382
03065400,455,1387
03066000,456,1388
03067510,457,1389
03068800,458,1390
03069500,459,1391
03070500,460,1393
03072000,461,1394
03075905,462,1401
03076600,463,1403
03078000,464,1405
03085500,465,1418
03092460,466,1425
03093000,467,1426
03094000,468,1427
03095500,469,1428
03098600,470,1431
03099500,471,1433
03101500,472,1434
03102500,473,1435
03102850,474,1436
03103500,475,1438
03105500,476,1439
03106000,477,1440
03106300,478,1441
03106500,479,1442
03107500,480,1443
03108000,481,1444
03109500,482,1445
03110000,483,1446
03111500,484,1448
03114500,485,1453
03115400,486,1454
03116000,487,1456
03116077,488,1457
03118000,489,1460
03118500,490,1461
03124500,491,1463
03126000,492,1464
03127000,493,1465
03128500,494,1466
03139000,495,1471
03140000,496,1472
03140500,497,1473
03141500,498,1474
03141870,499,1475
