basin_id,in_mswep,candidate_rank
01017000,yes,4
01017060,yes,5
01017290,yes,6
01017960,yes,8
01018000,yes,9
01018009,yes,10
01019000,yes,11
01021200,yes,12
01027200,yes,19
01029200,yes,20
01029500,yes,21
01030500,yes,22
01031300,yes,23
01031450,yes,24
01031500,yes,25
01031510,yes,26
01037380,yes,30
01042500,yes,32
01043500,yes,33
01044550,yes,34
01046000,yes,35
01046500,yes,36
01047150,yes,38
01047200,yes,39
01048220,yes,41
01052500,yes,45
01054200,yes,49
01054300,yes,50
01055000,yes,52
01059000,yes,55
01060000,yes,57
01064801,yes,60
01067950,yes,63
01068910,yes,64
01069500,yes,65
01069700,yes,66
01072800,yes,67
01073000,yes,68
01073319,yes,69
01073500,yes,70
010735562,yes,71
01073587,yes,72
01073785,yes,73
01074520,yes,74
01075000,yes,75
01076000,yes,76
01076500,yes,77
01077400,yes,78
01078000,yes,79
01081000,yes,80
01081500,yes,81
01082000,yes,82
01085000,yes,84
01085500,yes,85
01086000,yes,86
01089100,yes,87
01089500,yes,88
01091000,yes,89
01091500,yes,90
01092000,yes,91
01093852,yes,93
01094000,yes,94
01096000,yes,99
01096500,yes,100
010965852,yes,101
01097000,yes,102
01097300,yes,103
01098530,yes,105
01099500,yes,106
01100000,yes,107
01100505,yes,108
01100561,yes,109
01100600,yes,110
01100627,yes,111
01101000,yes,112
01101500,yes,113
01103280,yes,118
01103455,yes,119
01108000,yes,140
01108410,yes,142
01109000,yes,143
01109060,yes,144
01109070,yes,145
01109403,yes,148
01109730,yes,149
01110000,yes,150
01111212,yes,151
01111300,yes,153
01111500,yes,154
01115630,yes,162
01115770,yes,164
01117370,yes,170
01117468,yes,171
01117800,yes,173
01118300,yes,175
01119500,yes,177
01121000,yes,178
01122000,yes,179
01122500,yes,180
01123000,yes,181
01125100,yes,188
01125500,yes,189
01127000,yes,190
01127500,yes,191
01129200,yes,192
01130000,yes,193
01133000,yes,194
01134500,yes,195
01135150,yes,196
01135500,yes,198
01139000,yes,200
01139800,yes,201
01142500,yes,203
01144000,yes,204
01150900,yes,205
01151500,yes,206
01152500,yes,207
01153000,yes,208
01153550,yes,209
01154000,yes,210
01154500,yes,211
01155500,yes,212
01157000,yes,213
01158000,yes,214
01160350,yes,216
01161000,yes,217
01162000,yes,218
01162500,yes,219
01163200,yes,220
01166500,yes,221
01168500,yes,223
01169000,yes,224
01169900,yes,225
01170000,yes,226
01170100,yes,227
01170500,yes,228
01171500,yes,231
01172500,yes,232
01173000,yes,233
01173500,yes,234
01174565,yes,236
01181000,yes,244
01183500,yes,245
01184000,yes,246
01184100,yes,247
01185500,yes,249
01186000,yes,250
01186500,yes,251
01187300,yes,252
01188000,yes,254
01188090,yes,255
01189000,yes,256
01189995,yes,257
01191000,yes,258
01192500,yes,259
01192883,yes,260
01193500,yes,261
01194000,yes,262
01195490,yes,265
01196500,yes,266
01196561,yes,267
01196620,yes,268
01197000,yes,269
01198000,yes,271
01198125,yes,272
01203805,yes,281
01208950,yes,290
01208990,yes,291
01331500,yes,309
01333000,yes,311
01382170,yes,385
01382500,yes,386
01396091,yes,401
01396190,yes,402
01432110,yes,450
01439800,yes,465
01449800,yes,488
01451000,yes,490
01451800,yes,493
01455500,yes,498
01460880,yes,501
01461300,yes,502
01468500,yes,509
01469500,yes,510
01470500,yes,512
01470779,yes,514
01470960,yes,516
01471000,yes,517
01471510,yes,518
01472000,yes,521
01473500,yes,524
01492500,yes,565
01493500,yes,567
01518700,yes,586
01518862,yes,587
01520000,yes,588
01534500,yes,607
01534860,yes,608
01548005,yes,635
01553700,yes,644
01555000,yes,646
01555500,yes,647
01564500,yes,657
01566000,yes,659
01567500,yes,661
01599000,yes,715
01601000,yes,717
01601500,yes,718
01603000,yes,719
01604500,yes,720
01605500,yes,721
01606000,yes,722
01606500,yes,723
01607500,yes,724
01608000,yes,725
01608500,yes,726
01609000,yes,727
01610000,yes,728
01610155,yes,729
01611500,yes,730
01613000,yes,731
01613050,yes,732
01613095,yes,733
01613525,yes,734
01613900,yes,735
01614000,yes,736
01614500,yes,737
01615000,yes,739
01616100,yes,741
01616500,yes,742
01617000,yes,743
01617800,yes,744
01618000,yes,745
01619000,yes,746
01619500,yes,747
01620500,yes,748
01621050,yes,749
01622000,yes,750
01625000,yes,752
01626000,yes,753
01626850,yes,754
01627500,yes,755
01628500,yes,756
01629500,yes,757
01631000,yes,759
01632000,yes,760
01632082,yes,761
01632900,yes,762
01633000,yes,763
01634000,yes,764
01634500,yes,765
01635500,yes,767
01636316,yes,770
01636500,yes,771
01636690,yes,772
01637500,yes,773
01638480,yes,776
01638500,yes,777
01639500,yes,779
01643395,yes,785
01646500,yes,802
01658500,yes,819
01661050,yes,825
01662800,yes,827
01663500,yes,828
01664000,yes,829
01665500,yes,831
01666500,yes,832
01667500,yes,833
01669000,yes,836
01669520,yes,837
02011400,yes,849
02011460,yes,850
02011470,yes,851
02011490,yes,852
02011500,yes,853
02011800,yes,854
02013000,yes,855
02013100,yes,856
02014000,yes,857
02015700,yes,858
02016000,yes,859
02016500,yes,860
02017500,yes,861
02018000,yes,862
02018500,yes,863
02019500,yes,864
02020500,yes,865
02021500,yes,866
02022500,yes,867
02024000,yes,868
02024752,yes,869
02024915,yes,870
02025500,yes,871
02026000,yes,872
02027000,yes,873
02027500,yes,874
02028500,yes,876
02029000,yes,877
02030500,yes,879
02032250,yes,881
02032640,yes,882
02035000,yes,885
02037500,yes,887
02038850,yes,889
0204382800,yes,897
02046000,yes,900
02051000,yes,904
02051500,yes,905
02054500,yes,910
02054530,yes,911
02055000,yes,912
02056000,yes,914
02056650,yes,915
02068500,yes,927
02069700,yes,929
02070000,yes,930
02070500,yes,931
02071530,yes,932
02074500,yes,933
02118500,yes,975
02152474,yes,994
02157470,yes,997
02157490,yes,998
02167450,no,1003
02197300,no,1015
02228500,no,1048
02231000,no,1049
02231342,no,1050
02235200,no,1058
02236500,no,1059
02245500,no,1062
02246000,no,1063
02266200,no,1067
02268390,no,1068
02295013,no,1088
02296500,no,1090
02322700,no,1140
02322800,no,1141
02342850,no,1162
02343225,no,1163
02343940,no,1165
02365470,no,1173
02365769,no,1174
02366996,no,1175
02371500,no,1180
02372250,no,1181
02373000,no,1182
02374500,no,1183
02374745,no,1184
02374950,no,1185
02388900,no,1204
02388975,no,1205
02390000,no,1206
02391540,no,1207
02391840,no,1208
02392360,no,1209
02399200,no,1219
02400100,no,1220
02400680,no,1221
02401000,no,1222
02401390,no,1223
02404400,no,1224
02405500,no,1225
02407000,no,1226
02407514,no,1227
02408540,no,1228
02415000,no,1236
02420000,no,1241
02422500,no,1243
02423130,no,1244
02423380,no,1245
02423397,no,1246
02423400,no,1247
02423414,no,1248
02423425,no,1249
02423496,no,1250
02423500,no,1251
0242354750,no,1252
02423555,no,1253
02423630,no,1254
02424000,no,1255
02427250,no,1257
02438000,no,1263
02448900,no,1271
02449882,no,1272
02450000,no,1273
02450180,no,1274
02450250,no,1275
02450825,no,1276
02453000,no,1277
02454055,no,1278
02455000,no,1279
02455185,no,1280
02455980,no,1281
02456000,no,1282
02456500,no,1283
02457000,no,1284
02457595,no,1285
02458300,no,1286
02458450,no,1287
02458600,no,1288
02461500,no,1289
02462000,no,1290
02464000,no,1291
02464146,no,1292
02465000,no,1293
02465493,no,1295
02466030,no,1296
02467500,no,1298
02469800,no,1300
02470072,no,1301
02479945,no,1313
03010655,no,1320
03011800,no,1322
03015500,no,1328
03017500,no,1330
03021350,no,1333
03022540,no,1335
03026500,no,1340
03028000,no,1342
03031500,no,1346
03032500,no,1347
03034000,no,1348
03034500,no,1349
03036000,no,1350
03036500,no,1351
03038000,no,1352
03039000,no,1353
03040000,no,1354
03041029,no,1355
03041500,no,1356
03042000,no,1357
03042280,no,1358
03042500,no,1359
03044000,no,1360
03045000,no,1361
03047000,no,1362
03048500,no,1363
03049000,no,1364
03049500,no,1365
03049800,no,1368
03050000,no,1370
03050500,no,1371
03051000,no,1372
03052000,no,1373
03052500,no,1374
03053500,no,1375
03054500,no,1376
03056000,no,1377
03056250,no,1378
03057000,no,1379
03058000,no,1380
03058500,no,1381
03061000,no,1382
03065400,no,1387
03066000,no,1388
03067510,no,1389
03068800,no,1390
03069500,no,1391
03070500,no,1393
